Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
palm-kaftan,Palm Kaftan,"<p>A vibrant kaftan featuring a unique hand-printed design and a flattering drawstring waist. Crafted from a soft silk/viscose blend, this midi-length kaftan adds individual style and breezy comfort to your wardrobe.</p><ul><li>Material: Silk/Viscose</li><li>Origin: Hand-printed in Rajasthan, India</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Kaftan,"women,kaftan,bestseller",TRUE,Colour,Pink,,,,,KQ-palm-kaftan-pink,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,Palm Kaftan | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmpinkandgreenkaftan.heic?v=1761750123&width=1200,g,,,active
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmpinkandgreenkaftan.heic?v=1761750123&width=1200,1,Palm Kaftan - Pink,,,,,,,,
palm-kaftan,,,,,,,,Colour,Green & Fuchsia,,,,,KQ-palm-kaftan-green-fuchsia,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmbeigekaftan2.heic?v=1761750123&width=1200,g,,,
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmbeigekaftan2.heic?v=1761750123&width=1200,2,Palm Kaftan - Green & Fuchsia,,,,,,,,
palm-kaftan,,,,,,,,Colour,Blue & Red,,,,,KQ-palm-kaftan-blue-red,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmblueandredkaftan.heic?v=1761750122&width=1200,g,,,
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmblueandredkaftan.heic?v=1761750122&width=1200,3,Palm Kaftan - Blue & Red,,,,,,,,
palm-kaftan,,,,,,,,Colour,Orange,,,,,KQ-palm-kaftan-orange,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palm_peach_kaftan.heic?v=1761750299&width=1200,g,,,
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palm_peach_kaftan.heic?v=1761750299&width=1200,4,Palm Kaftan - Orange,,,,,,,,
palm-dress,Palm Dress,"<p>A cotton knee-length dress with trim on the hem and sleeves. Hand printed in Rajasthan and available in a range of vibrant colourways.</p><ul><li>Material: Silk/Viscose</li><li>Origin: Hand-printed in Rajasthan, India</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Dress,"women,dress,new",TRUE,Colour,Blue & Pink,,,,,KQ-palm-dress-blue-pink,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,Palm Dress | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmblueandpinkdress.heic?v=1761750246&width=1200,g,,,active
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmblueandpinkdress.heic?v=1761750246&width=1200,1,Palm Dress - Blue & Pink,,,,,,,,
palm-dress,,,,,,,,Colour,Blue Pattern,,,,,KQ-palm-dress-blue-pattern,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmbluedress3.heic?v=1762429162&width=1200,g,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmbluedress3.heic?v=1762429162&width=1200,2,Palm Dress - Blue Pattern,,,,,,,,
palm-dress,,,,,,,,Colour,Fuchsia,,,,,KQ-palm-dress-fuchsia,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0928/7027/9498/files/Palmfusiadress.heic?v=1762429162&width=1200,g,,,
