Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kerala-mens-shirt,Kerala Men's Shirt,"<p>Our classic Kerala men's shirt &mdash; pure cotton, block printed in Rajasthan by artisans who stamp each piece using wooden blocks. Available in a wide spectrum of prints.</p><ul><li>Material: 100% Cotton</li><li>Origin: Block printed in Rajasthan, India</li><li>Sizing: Arm length 56 cm &middot; Chest 62 cm</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Shirt,"men,shirt,hand-printed",TRUE,Colour,Blue Flower,,,,,KQ-kerala-mens-shirt-blue-flower,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,Kerala Men's Shirt | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralablueflowermen_scottonshirtL.jpg?v=1778956780,g,,,active
kerala-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralablueflowermen_scottonshirtL.jpg?v=1778956780,1,Kerala Men's Shirt - Blue Flower,,,,,,,,
kerala-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralablueflowermen_scottonshirtL2.jpg?v=1778956780,2,Kerala Men's Shirt - Blue Flower,,,,,,,,
kerala-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/yx4337eg_IMG_7332.jpeg,3,Kerala Men's Shirt - Blue Flower,,,,,,,,
kerala-mens-shirt,,,,,,,,Colour,Fuchsia,,,,,KQ-kerala-mens-shirt-fuchsia,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralafushiaflowermen_scottonshirtL2.jpg?v=1778956780,g,,,
kerala-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralafushiaflowermen_scottonshirtL2.jpg?v=1778956780,4,Kerala Men's Shirt - Fuchsia,,,,,,,,
kerala-mens-shirt,,,,,,,,Colour,Green & Orange,,,,,KQ-kerala-mens-shirt-green-orange,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralagreenblockmen_scottonshirtL_45730605-055a-4193-ada7-0de1cf062fef.jpg?v=1778956780,g,,,
kerala-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralagreenblockmen_scottonshirtL_45730605-055a-4193-ada7-0de1cf062fef.jpg?v=1778956780,5,Kerala Men's Shirt - Green & Orange,,,,,,,,
kerala-mens-shirt,,,,,,,,Colour,Blue Pattern,,,,,KQ-kerala-mens-shirt-blue-pattern,300,shopify,10,deny,manual,65.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralabeigewithturquoiseflowersmen_scottonshirtL.jpg?v=1778956780,g,,,
kerala-mens-shirt,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Keralabeigewithturquoiseflowersmen_scottonshirtL.jpg?v=1778956780,6,Kerala Men's Shirt - Blue Pattern,,,,,,,,
