Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
light-cotton-dress,Light Cotton Dress,"<p>A breezy lightweight cotton dress with a delicate hand-printed floral motif, ruffled sleeves and shoulders, smocked waist, and tasselled drawstring tie. Effortless femininity for sun-drenched days.</p><ul><li>Material: 100% Cotton</li><li>Origin: Hand-printed in India</li><li>Care: Machine wash cold. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Dress,"women,dress,new",TRUE,Colour,Pink/Orange Teardrop,,,,,KQ-light-cotton-dress-pink-orange-teardrop,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,Light Cotton Dress | Kaftan Queens,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/nraya2wi_IMG_7319.jpeg,g,,,active
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/nraya2wi_IMG_7319.jpeg,1,Light Cotton Dress - Pink/Orange Teardrop,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/2nx2r33k_IMG_7311.jpeg,2,Light Cotton Dress - Pink/Orange Teardrop,,,,,,,,
light-cotton-dress,,,,,,,,Colour,Pink White,,,,,KQ-light-cotton-dress-pink-white,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ka9ax8vj_7d05f83a-a321-42cc-af6d-cfd184bb8975.jpg,g,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ka9ax8vj_7d05f83a-a321-42cc-af6d-cfd184bb8975.jpg,3,Light Cotton Dress - Pink White,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ra5xg2lw_5654a25f-7bfc-48e3-af34-6bf0da481eb5.jpg,4,Light Cotton Dress - Pink White,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/y3xx0o3z_5aec3ca5-e17f-4142-82d1-8e258f728b4f.jpg,5,Light Cotton Dress - Pink White,,,,,,,,
light-cotton-dress,,,,,,,,Colour,White Ditsy,,,,,KQ-light-cotton-dress-white-ditsy,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/3h7lsqkt_IMG_7306_f4544a0a-c7d0-49f7-bbe8-4a66ea048cb0.jpg,g,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/3h7lsqkt_IMG_7306_f4544a0a-c7d0-49f7-bbe8-4a66ea048cb0.jpg,6,Light Cotton Dress - White Ditsy,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ygcvmbdh_IMG_7307.jpg,7,Light Cotton Dress - White Ditsy,,,,,,,,
light-cotton-dress,,,,,,,,Colour,Blue Flower,,,,,KQ-light-cotton-dress-blue-flower,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/dalun1op_IMG_7300.jpg,g,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/dalun1op_IMG_7300.jpg,8,Light Cotton Dress - Blue Flower,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/wmv5mqsy_IMG_7301.jpg,9,Light Cotton Dress - Blue Flower,,,,,,,,
