Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
palazzo-trousers,Palazzo Trousers,"<p>New Palazzo trousers with a wide, comfortable stretch waist that sits beautifully on any silhouette. Wide, flowing leg in a delicate hand-printed floral cotton. Available in two lengths &mdash; Short or Long &mdash; so you can find the perfect fit.</p><ul><li>Material: Cotton</li><li>Origin: Hand-printed in India</li><li>Sizing: Inside leg to hem &mdash; Short 53 cm &middot; Long 66 cm</li><li>Care: Machine wash cold. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Trousers,"women,trousers,new",TRUE,Colour,Teal Blue & White Flower,Size,Short,,,KQ-palazzo-trousers-teal-blue-white-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,Palazzo Trousers | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,g,,,active
palazzo-trousers,,,,,,,,Colour,Teal Blue & White Flower,Size,Long,,,KQ-palazzo-trousers-teal-blue-white-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,1,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/40bg5a06_image0_20_281_29.jpg,2,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Short,,,KQ-palazzo-trousers-pink-blue-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/tuejngv9_image0.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Long,,,KQ-palazzo-trousers-pink-blue-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/tuejngv9_image0.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/tuejngv9_image0.jpg,3,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/mkfwviik_image1.jpg,4,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Orange & Yellow Flower,Size,Short,,,KQ-palazzo-trousers-orange-yellow-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/36vuwgr6_image1.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,Orange & Yellow Flower,Size,Long,,,KQ-palazzo-trousers-orange-yellow-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/36vuwgr6_image1.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/36vuwgr6_image1.jpg,5,Palazzo Trousers - Orange & Yellow Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/urki5462_image0.jpg,6,Palazzo Trousers - Orange & Yellow Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Pink Tiedye,Size,Short,,,KQ-palazzo-trousers-pink-tiedye-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/jnarnwb5_image0%20%281%29.jpeg,g,,,
palazzo-trousers,,,,,,,,Colour,Pink Tiedye,Size,Long,,,KQ-palazzo-trousers-pink-tiedye-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/jnarnwb5_image0%20%281%29.jpeg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/jnarnwb5_image0%20%281%29.jpeg,7,Palazzo Trousers - Pink Tiedye,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://customer-assets.emergentagent.com/job_image-scraper-3/artifacts/j7emy92w_image1.jpeg,8,Palazzo Trousers - Pink Tiedye,,,,,,,,
