Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
palm-dress,Palm Dress,"<p>A cotton knee-length dress with trim on the hem and sleeves. Hand printed in Rajasthan and available in a range of vibrant colourways.</p><ul><li>Material: Silk/Viscose</li><li>Origin: Hand-printed in Rajasthan, India</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Dress,"women,dress",TRUE,Colour,Blue & Pink,,,,,KQ-palm-dress-blue-pink,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,Palm Dress | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmblueandpinkdress.jpg?v=1778956771,g,,,active
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmblueandpinkdress.jpg?v=1778956771,1,Palm Dress - Blue & Pink,,,,,,,,
palm-dress,,,,,,,,Colour,Blue Pattern,,,,,KQ-palm-dress-blue-pattern,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmbluedress3.jpg?v=1778956771,g,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmbluedress3.jpg?v=1778956771,2,Palm Dress - Blue Pattern,,,,,,,,
palm-dress,,,,,,,,Colour,Fuchsia,,,,,KQ-palm-dress-fuchsia,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmfusiadress.jpg?v=1778956771,g,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmfusiadress.jpg?v=1778956771,3,Palm Dress - Fuchsia,,,,,,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmpinkdress2.jpg?v=1778956771,4,Palm Dress - Fuchsia,,,,,,,,
palm-dress,,,,,,,,Colour,Orange,,,,,KQ-palm-dress-orange,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmorangedress3.jpg?v=1778956770,g,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmorangedress3.jpg?v=1778956770,5,Palm Dress - Orange,,,,,,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmorangedress2.jpg?v=1778956771,6,Palm Dress - Orange,,,,,,,,
palm-dress,,,,,,,,Colour,Yellow,,,,,KQ-palm-dress-yellow,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmyellowdress3.jpg?v=1778956771,g,,,
palm-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmyellowdress3.jpg?v=1778956771,7,Palm Dress - Yellow,,,,,,,,
