Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
palm-kaftan,Palm Kaftan,"<p>A vibrant kaftan featuring a unique hand-printed design and a flattering drawstring waist. Crafted from a soft silk/viscose blend, this midi-length kaftan adds individual style and breezy comfort to your wardrobe.</p><ul><li>Material: Silk/Viscose</li><li>Origin: Hand-printed in Rajasthan, India</li><li>Care: Machine wash at 30&deg;C. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Kaftan,"women,kaftan",TRUE,Colour,Pink,,,,,KQ-palm-kaftan-pink,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,Palm Kaftan | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palm_peach_kaftan.jpg?v=1778956769,g,,,active
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palm_peach_kaftan.jpg?v=1778956769,1,Palm Kaftan - Pink,,,,,,,,
palm-kaftan,,,,,,,,Colour,Green & Fuchsia,,,,,KQ-palm-kaftan-green-fuchsia,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmpinkandgreenkaftan.jpg?v=1778956769,g,,,
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmpinkandgreenkaftan.jpg?v=1778956769,2,Palm Kaftan - Green & Fuchsia,,,,,,,,
palm-kaftan,,,,,,,,Colour,Blue & Red,,,,,KQ-palm-kaftan-blue-red,300,shopify,10,deny,manual,75.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmblueandredkaftan.jpg?v=1778956769,g,,,
palm-kaftan,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/Palmblueandredkaftan.jpg?v=1778956769,3,Palm Kaftan - Blue & Red,,,,,,,,
palazzo-trousers,Palazzo Trousers,"<p>Palazzo trousers with a wide, comfortable stretch waist that sits beautifully on any silhouette. Wide, flowing leg in a delicate hand-printed floral cotton. Available in two lengths &mdash; Short or Long.</p><ul><li>Material: Cotton</li><li>Origin: Hand-printed in India</li><li>Sizing: Inside leg to hem &mdash; Short 53 cm &middot; Long 66 cm</li><li>Care: Machine wash cold. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Trousers,"women,trousers,bestseller",TRUE,Colour,Teal Blue & White Flower,Size,Short,,,KQ-palazzo-trousers-teal-blue-white-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,Palazzo Trousers | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,g,,,active
palazzo-trousers,,,,,,,,Colour,Teal Blue & White Flower,Size,Long,,,KQ-palazzo-trousers-teal-blue-white-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,1,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/40bg5a06_image0_20_281_29.jpg,2,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Short,,,KQ-palazzo-trousers-pink-blue-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/tuejngv9_image0.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Long,,,KQ-palazzo-trousers-pink-blue-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/tuejngv9_image0.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/tuejngv9_image0.jpg,3,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/mkfwviik_image1.jpg,4,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Orange & Yellow Flower,Size,Short,,,KQ-palazzo-trousers-orange-yellow-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/36vuwgr6_image1.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,Orange & Yellow Flower,Size,Long,,,KQ-palazzo-trousers-orange-yellow-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/36vuwgr6_image1.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/36vuwgr6_image1.jpg,5,Palazzo Trousers - Orange & Yellow Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/urki5462_image0.jpg,6,Palazzo Trousers - Orange & Yellow Flower,,,,,,,,
light-cotton-dress,Narlai Dress,"<p>A breezy lightweight cotton dress with a delicate hand-printed floral motif, ruffled sleeves and shoulders, smocked waist, and tasselled drawstring tie. Effortless femininity for sun-drenched days.</p><ul><li>Material: 100% Cotton</li><li>Origin: Hand-printed in India</li><li>Care: Machine wash cold. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Dress,"women,dress",TRUE,Colour,Pink White,,,,,KQ-light-cotton-dress-pink-white,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,Narlai Dress | Kaftan Queens,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ka9ax8vj_7d05f83a-a321-42cc-af6d-cfd184bb8975.jpg,g,,,active
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ka9ax8vj_7d05f83a-a321-42cc-af6d-cfd184bb8975.jpg,1,Narlai Dress - Pink White,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ra5xg2lw_5654a25f-7bfc-48e3-af34-6bf0da481eb5.jpg,2,Narlai Dress - Pink White,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/y3xx0o3z_5aec3ca5-e17f-4142-82d1-8e258f728b4f.jpg,3,Narlai Dress - Pink White,,,,,,,,
light-cotton-dress,,,,,,,,Colour,White Ditsy,,,,,KQ-light-cotton-dress-white-ditsy,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/3h7lsqkt_IMG_7306_f4544a0a-c7d0-49f7-bbe8-4a66ea048cb0.jpg,g,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/3h7lsqkt_IMG_7306_f4544a0a-c7d0-49f7-bbe8-4a66ea048cb0.jpg,4,Narlai Dress - White Ditsy,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/ygcvmbdh_IMG_7307.jpg,5,Narlai Dress - White Ditsy,,,,,,,,
light-cotton-dress,,,,,,,,Colour,Blue Flower,,,,,KQ-light-cotton-dress-blue-flower,300,shopify,10,deny,manual,95.00,,TRUE,TRUE,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/dalun1op_IMG_7300.jpg,g,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/dalun1op_IMG_7300.jpg,6,Narlai Dress - Blue Flower,,,,,,,,
light-cotton-dress,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/wmv5mqsy_IMG_7301.jpg,7,Narlai Dress - Blue Flower,,,,,,,,
